"term","total","prob"
"a",1573491,0.289973433923147
"aa",541,9.96990944037318e-05
"aaa",99,1.824438141584e-05
"aaaa",6,1.10572008580849e-06
"aaaaaahhhhhh",4,7.37146723872324e-07
"aaaah",9,1.65858012871273e-06
"aaaahhhhhhhhh",4,7.37146723872324e-07
"aaahhh",27,4.97574038613819e-06
"aaahhhh",17,3.13287357645738e-06
"aaargh",6,1.10572008580849e-06
"aac",41,7.55575391969132e-06
"aacc",4,7.37146723872324e-07
"aacr",8,1.47429344774465e-06
"aagaard",3,5.52860042904243e-07
"aah",73,1.34529277106699e-05
"aahahaha",4,7.37146723872324e-07
"aahed",9,1.65858012871273e-06
"aahh",15,2.76430021452122e-06
"aahhh",18,3.31716025742546e-06
"aahhhh",16,2.9485868954893e-06
"aalcondez",6,1.10572008580849e-06
"aaliyah",76,1.40057877535742e-05
"aam",275,5.06788372662223e-05
"aang",4,7.37146723872324e-07
"aap",68,1.25314943058295e-05
"aapt",10,1.84286680968081e-06
"aar",20,3.68573361936162e-06
"aargh",15,2.76430021452122e-06
"aaron",1178,0.000217089710180399
"aarons",68,1.25314943058295e-05
"aarp",77,1.41900744345422e-05
"aarti",22,4.05430698129778e-06
"aas",70,1.29000676677657e-05
"aasl",32,5.89717379097859e-06
"aau",103,1.89815281397123e-05
"aauw",11,2.02715349064889e-06
"aaww",14,2.58001353355313e-06
"aawww",14,2.58001353355313e-06
"ab",685,0.000126236376463135
"aba",89,1.64015146061592e-05
"aback",128,2.35886951639144e-05
"abacus",28,5.16002706710627e-06
"abad",8,1.47429344774465e-06
"abalone",19,3.50144693839354e-06
"abandon",500,9.21433404840405e-05
"abandoned",1136,0.00020934966957974
"abandoning",159,2.93015822739249e-05
"abandonment",146,2.69058554213398e-05
"abandons",29,5.34431374807435e-06
"abashed",6,1.10572008580849e-06
"abated",30,5.52860042904243e-06
"abatement",20,3.68573361936162e-06
"abba",112,2.06401082684251e-05
"abbas",59,1.08729141771168e-05
"abbey",518,9.5460500741466e-05
"abbeys",15,2.76430021452122e-06
"abbi",8,1.47429344774465e-06
"abbie",62,1.1425774220021e-05
"abbot",62,1.1425774220021e-05
"abbotsford",17,3.13287357645738e-06
"abbott",142,2.61687086974675e-05
"abbottabad",39,7.18718055775516e-06
"abbreviate",22,4.05430698129778e-06
"abbreviated",63,1.16100609009891e-05
"abbreviating",4,7.37146723872324e-07
"abbreviation",51,9.39862072937213e-06
"abbreviations",57,1.05043408151806e-05
"abby",541,9.96990944037318e-05
"abbys",48,8.84576068646789e-06
"abc",1175,0.000216536850137495
"abcchicago",4,7.37146723872324e-07
"abcparamount",4,7.37146723872324e-07
"abcs",193,3.55673294268396e-05
"abd",58,1.06886274961487e-05
"abdc",317,5.84188778668817e-05
"abdel",13,2.39572685258505e-06
"abdomen",106,1.95343881826166e-05
"abdominal",116,2.13772549922974e-05
"abdominals",11,2.02715349064889e-06
"abduct",13,2.39572685258505e-06
"abducted",126,2.32201218019782e-05
"abducting",11,2.02715349064889e-06
"abduction",118,2.17458283542336e-05
"abductions",29,5.34431374807435e-06
"abdul",185,3.4093035979095e-05
"abdulbah",59,1.08729141771168e-05
"abdulbahs",6,1.10572008580849e-06
"abdullah",91,1.67700879680954e-05
"abdullahs",6,1.10572008580849e-06
"abe",139,2.56158486545633e-05
"abebooks",6,1.10572008580849e-06
"abecedarians",4,7.37146723872324e-07
"abed",42,7.7400406006594e-06
"abel",104,1.91658148206804e-05
"abelard",5,9.21433404840405e-07
"abenaki",8,1.47429344774465e-06
"abercrombie",100,1.84286680968081e-05
"aberdeen",109,2.00872482255208e-05
"aberdeenshire",22,4.05430698129778e-06
"aberrant",20,3.68573361936162e-06
"aberration",38,7.00289387678708e-06
"aberrations",9,1.65858012871273e-06
"abetting",29,5.34431374807435e-06
"abhor",39,7.18718055775516e-06
"abhorrence",16,2.9485868954893e-06
"abhorrent",52,9.58290741034021e-06
"abi",37,6.818607195819e-06
"abide",229,4.22016499416905e-05
"abides",50,9.21433404840405e-06
"abideth",12,2.21144017161697e-06
"abiding",133,2.45101285687548e-05
"abigail",139,2.56158486545633e-05
"abigaille",6,1.10572008580849e-06
"abilene",24,4.42288034323394e-06
"abilities",858,0.000158117972270614
"ability",4940,0.00091037620398232
"abingdon",13,2.39572685258505e-06
"abit",43,7.92432728162748e-06
"abita",39,7.18718055775516e-06
"abitas",6,1.10572008580849e-06
"abject",72,1.32686410297018e-05
"abkhazia",9,1.65858012871273e-06
"ablaze",56,1.03200541342125e-05
"able",20459,0.00377032120592597
"ablebodied",52,9.58290741034021e-06
"ableton",21,3.8700203003297e-06
"ablutions",6,1.10572008580849e-06
"ably",26,4.79145370517011e-06
"abner",10,1.84286680968081e-06
"abnormal",168,3.09601624026376e-05
"abnormalities",47,8.66147400549981e-06
"abnormality",26,4.79145370517011e-06
"abnormally",59,1.08729141771168e-05
"abo",13,2.39572685258505e-06
"aboard",592,0.000109097715133104
"abode",152,2.80115755071483e-05
"abolish",119,2.19301150352016e-05
"abolished",107,1.97186748635847e-05
"abolishing",41,7.55575391969132e-06
"abolition",83,1.52957945203507e-05
"abolitionist",28,5.16002706710627e-06
"abominable",52,9.58290741034021e-06
"abomination",130,2.39572685258505e-05
"aboriginal",140,2.58001353355313e-05
"aboriginals",18,3.31716025742546e-06
"aborigines",13,2.39572685258505e-06
"abort",73,1.34529277106699e-05
"aborted",84,1.54800812013188e-05
"abortion",765,0.000140979310940582
"abortions",167,3.07758757216695e-05
"abou",34,6.26574715291475e-06
"abound",236,4.34916567084671e-05
"abounded",21,3.8700203003297e-06
"abounding",67,1.23472076248614e-05
"abounds",60,1.10572008580849e-05
"about",213240,0.0392972918496336
"aboutcom",19,3.50144693839354e-06
"aboutface",9,1.65858012871273e-06
"abouti",9,1.65858012871273e-06
"aboutme",16,2.9485868954893e-06
"aboutthe",8,1.47429344774465e-06
"above",10340,0.00190552428120996
"abovementioned",25,4.60716702420203e-06
"aboyfriendshouldalways",44,8.10861396259556e-06
"abp",17,3.13287357645738e-06
"abq",513,9.45390673366256e-05
"abqs",46,8.47718732453173e-06
"abraham",672,0.00012384064961055
"abrahams",54,9.95148077227637e-06
"abram",54,9.95148077227637e-06
"abramovich",8,1.47429344774465e-06
"abrams",125,2.30358351210101e-05
"abrasive",43,7.92432728162748e-06
"abreast",61,1.12414875390529e-05
"abridged",46,8.47718732453173e-06
"abripperx",13,2.39572685258505e-06
"abroad",961,0.000177099500410326
"abrupt",130,2.39572685258505e-05
"abruptly",188,3.46458960219992e-05
"abs",514,9.47233540175936e-05
"absalom",18,3.31716025742546e-06
"abscbn",22,4.05430698129778e-06
